time,deviceName,meterSerialNumber_tag,totalFordwardFlow,instantFlow,Vbat,time_meter_unix,time_meter_str,rssi,snr
2026-06-14 00:25:31,32862-710,32862710,738.563,0.002,3.7,1781396700000.0,2026-06-14 00:25:00,-95,10.2
2026-06-14 01:10:08,32862-710,32862710,738.563,0.0,3.7,1781399400000.0,2026-06-14 01:10:00,-102,7.5
2026-06-14 01:40:18,32862-710,32862710,738.563,0.0,3.7,1781401200000.0,2026-06-14 01:40:00,-90,9.5
2026-06-14 01:50:27,mt-b-08-33430397,33430397,0.221,0.0,3.68,1781401920000.0,2026-06-14 01:52:00,-111,3.0
2026-06-14 02:10:13,32862-710,32862710,738.563,0.0,3.7,1781403000000.0,2026-06-14 02:10:00,-86,9.2
2026-06-14 02:55:17,32862-710,32862710,738.563,0.0,3.7,1781405700000.0,2026-06-14 02:55:00,-93,9.2
2026-06-14 03:40:07,32862-710,32862710,738.563,0.0,3.7,1781408400000.0,2026-06-14 03:40:00,-99,9.2
2026-06-14 03:55:13,32862-710,32862710,738.563,0.0,3.7,1781409300000.0,2026-06-14 03:55:00,-88,9.8
2026-06-14 04:10:32,32862-710,32862710,738.563,0.0,3.7,1781410200000.0,2026-06-14 04:10:00,-93,10.2
2026-06-14 04:25:13,32862-710,32862710,738.563,0.0,3.7,1781411100000.0,2026-06-14 04:25:00,-89,9.5
2026-06-14 04:40:17,32862-710,32862710,738.563,0.0,3.7,1781412000000.0,2026-06-14 04:40:00,-93,10.0
2026-06-14 04:55:15,32862-710,32862710,738.563,0.0,3.7,1781412900000.0,2026-06-14 04:55:00,-89,10.0
2026-06-14 05:16:47,mt-08-b-33430251,33430251,0.041,0.0,3.66,1781414460000.0,2026-06-14 05:21:00,-106,6.5
2026-06-14 05:25:13,32862-710,32862710,738.564,0.0,3.7,1781414700000.0,2026-06-14 05:25:00,-89,9.0
2026-06-14 05:40:31,32862-710,32862710,738.564,0.0,3.7,1781415600000.0,2026-06-14 05:40:00,-87,9.5
2026-06-14 06:10:12,32862-710,32862710,738.564,0.0,3.7,1781417400000.0,2026-06-14 06:10:00,-90,10.2
2026-06-14 06:25:31,32862-710,32862710,738.564,0.0,3.7,1781418300000.0,2026-06-14 06:25:00,-89,10.0
2026-06-14 06:40:28,32862-710,32862710,738.564,0.0,3.7,1781419200000.0,2026-06-14 06:40:00,-88,8.2
2026-06-14 07:10:17,32862-710,32862710,738.564,0.0,3.7,1781421000000.0,2026-06-14 07:10:00,-91,9.2
2026-06-14 08:10:06,32862-710,32862710,738.564,0.0,3.7,1781424600000.0,2026-06-14 08:10:00,-97,8.2
2026-06-14 08:25:11,32862-710,32862710,738.564,0.0,3.7,1781425500000.0,2026-06-14 08:25:00,-93,9.5
2026-06-14 08:55:10,32862-710,32862710,738.564,0.0,3.7,1781427300000.0,2026-06-14 08:55:00,-89,9.8
2026-06-14 10:10:11,32862-710,32862710,738.564,0.0,3.7,1781431800000.0,2026-06-14 10:10:00,-89,10.2
2026-06-14 10:25:30,32862-710,32862710,738.564,0.0,3.7,1781432700000.0,2026-06-14 10:25:00,-89,9.8
2026-06-14 10:40:11,32862-710,32862710,738.564,0.0,3.7,1781433600000.0,2026-06-14 10:40:00,-89,9.0
2026-06-14 11:25:11,32862-710,32862710,738.564,0.0,3.7,1781436300000.0,2026-06-14 11:25:00,-87,9.0
2026-06-14 11:45:02,mt-b-08-33430401,33430401,0.209,0.0,3.64,1781437560000.0,2026-06-14 11:46:00,-114,3.8
2026-06-14 11:55:13,32862-710,32862710,738.564,0.0,3.7,1781438100000.0,2026-06-14 11:55:00,-88,9.2
2026-06-14 12:10:14,32862-710,32862710,738.564,0.0,3.7,1781439000000.0,2026-06-14 12:10:00,-99,8.5
2026-06-14 12:40:10,32862-710,32862710,738.564,0.0,3.7,1781440800000.0,2026-06-14 12:40:00,-94,9.2
2026-06-14 13:55:28,32862-710,32862710,738.564,0.0,3.7,1781445300000.0,2026-06-14 13:55:00,-89,10.0
2026-06-14 14:35:41,mt-08-b-33430234,33430234,0.033,0.0,3.56,1781446740000.0,2026-06-14 14:19:00,-99,8.8
2026-06-14 14:40:13,32862-710,32862710,738.568,0.0,3.7,1781448000000.0,2026-06-14 14:40:00,-87,11.8
2026-06-14 14:55:33,32862-710,32862710,738.568,0.0,3.7,1781448900000.0,2026-06-14 14:55:00,-87,9.2
2026-06-14 15:40:12,32862-710,32862710,738.569,0.0,3.7,1781451600000.0,2026-06-14 15:40:00,-89,9.5
2026-06-14 16:35:25,mt-08-b-33430234,33430234,0.033,0.0,3.56,1781453940000.0,2026-06-14 16:19:00,-102,7.5
2026-06-14 16:40:12,32862-710,32862710,738.569,0.0,3.7,1781455200000.0,2026-06-14 16:40:00,-103,4.8
2026-06-14 16:55:14,32862-710,32862710,738.569,0.0,3.7,1781456100000.0,2026-06-14 16:55:00,-109,4.5
2026-06-14 17:25:13,32862-710,32862710,738.569,0.0,3.7,1781457900000.0,2026-06-14 17:25:00,-96,11.0
2026-06-14 17:40:14,32862-710,32862710,738.569,0.0,3.7,1781458800000.0,2026-06-14 17:40:00,-99,9.8
2026-06-14 17:55:29,32862-710,32862710,738.569,0.0,3.7,1781459700000.0,2026-06-14 17:55:00,-91,9.8
2026-06-14 18:25:12,32862-710,32862710,738.569,0.002,3.7,1781461500000.0,2026-06-14 18:25:00,-93,9.0
2026-06-14 18:40:29,32862-710,32862710,738.569,0.0,3.7,1781462400000.0,2026-06-14 18:40:00,-87,9.5
2026-06-14 19:10:17,32862-710,32862710,738.569,0.0,3.7,1781464200000.0,2026-06-14 19:10:00,-90,9.5
2026-06-14 19:25:11,32862-710,32862710,738.569,0.0,3.7,1781465100000.0,2026-06-14 19:25:00,-93,9.8
2026-06-14 19:40:07,32862-710,32862710,738.569,0.0,3.7,1781466000000.0,2026-06-14 19:40:00,-91,9.5
2026-06-14 19:55:12,32862-710,32862710,738.569,0.0,3.7,1781466900000.0,2026-06-14 19:55:00,-89,9.8
2026-06-14 20:55:12,32862-710,32862710,738.57,0.0,3.7,1781470500000.0,2026-06-14 20:55:00,-90,10.5
2026-06-14 21:10:35,32862-710,32862710,738.57,0.0,3.7,1781471400000.0,2026-06-14 21:10:00,-90,9.8
2026-06-14 21:25:11,32862-710,32862710,738.57,0.0,3.7,1781472300000.0,2026-06-14 21:25:00,-89,9.2
2026-06-14 21:40:07,32862-710,32862710,738.57,0.0,3.7,1781473200000.0,2026-06-14 21:40:00,-102,8.2
2026-06-14 21:55:19,32862-710,32862710,738.57,0.0,3.7,1781474100000.0,2026-06-14 21:55:00,-91,10.8
2026-06-14 22:40:11,32862-710,32862710,738.57,0.0,3.7,1781476800000.0,2026-06-14 22:40:00,-90,9.8
2026-06-14 22:55:12,32862-710,32862710,738.57,0.0,3.7,1781477700000.0,2026-06-14 22:55:00,-90,9.8
